outcode,county
BA5,Somerset
BA6,Somerset
BA7,Somerset
BA8,Somerset
BA9,Somerset
BB1,Lancashire
BB10,Lancashire
BB11,Lancashire
BB12,Lancashire
BB18,Yorkshire
BB2,Lancashire
BB3,Lancashire
BB4,Lancashire
BB5,Lancashire
BB6,Lancashire
BB7,Lancashire
BB8,Lancashire
BB9,Lancashire
BD1,Yorkshire
BD10,Yorkshire
BD11,Yorkshire
BD12,Yorkshire
BD13,Yorkshire
BD14,Yorkshire
BD15,Yorkshire
BD16,Yorkshire
BD17,Yorkshire
BD18,Yorkshire
BD19,Yorkshire
BD2,Yorkshire
BD20,Yorkshire
BD21,Yorkshire
BD22,Yorkshire
BD23,Yorkshire
BD24,Yorkshire
BD3,Yorkshire
BD4,Yorkshire
BD5,Yorkshire
BD6,Yorkshire
BD7,Yorkshire
BD8,Yorkshire
BD9,Yorkshire
BD97,Yorkshire
BD98,Yorkshire
BD99,Yorkshire
BH1,Hampshire
BH10,Dorset
BH11,Dorset
BH12,Dorset
BH13,Dorset
BH14,Dorset
BH15,Dorset
BH16,Dorset
BH17,Dorset
BH18,Dorset
BH19,Dorset
BH2,Hampshire
BH20,Dorset
BH21,Dorset
BH22,Dorset
BH23,Hampshire
BH24,Hampshire
BH25,Hampshire
BH3,Hampshire
BH31,Dorset
BH4,Hampshire
BH5,Hampshire
BH6,Hampshire
BH7,Hampshire
BH8,Hampshire
BH9,Hampshire
BL0,Lancashire
BL1,Lancashire
BL11,Lancashire
BL2,Lancashire
BL3,Lancashire
BL4,Lancashire
BL5,Lancashire
BL6,Lancashire
BL7,Lancashire
BL78,Lancashire
BL8,Lancashire
BL9,Lancashire
BN1,Sussex
BN10,Sussex
BN11,Sussex
BN12,Sussex
BN13,Sussex
BN14,Sussex
BN15,Sussex
BN16,Sussex
BN17,Sussex
BN18,Sussex
BN2,Sussex
BN20,Sussex
BN21,Sussex
BN22,Sussex
BN23,Sussex
BN24,Sussex
BN25,Sussex
BN26,Sussex
BN27,Sussex
BN3,Sussex
BN41,Sussex
BN42,Sussex
BN43,Sussex
BN44,Sussex
BN45,Sussex
BN5,Sussex
BN50,Sussex
BN51,Sussex
BN52,Sussex
BN6,Sussex
BN7,Sussex
BN8,Sussex
BN88,Sussex
BN9,Sussex
BN95,Sussex
BN99,Sussex
BR1,Kent
BR2,Kent
BR3,Kent
BR4,Kent
BR5,Kent
BR6,Kent
BR7,Kent
BR8,Kent
BS1,Gloucestershire
BS10,Gloucestershire
BS11,Gloucestershire
BS13,Somerset
BS14,Somerset
BS15,Gloucestershire
BS16,Gloucestershire
BS2,Gloucestershire
BS20,Somerset
BS21,Somerset
BS22,Somerset
BS23,Somerset
BS24,Somerset
BS25,Somerset
BS26,Somerset
BS27,Somerset
BS28,Somerset
BS29,Somerset
BS3,Somerset
BS30,Gloucestershire
BS31,Somerset
BS32,Gloucestershire
BS34,Gloucestershire
BS35,Gloucestershire
BS36,Gloucestershire
BS37,Gloucestershire
BS39,Somerset
BS4,Somerset
BS40,Somerset
BS41,Somerset
BS48,Somerset
BS49,Somerset
BS5,Gloucestershire
BS6,Gloucestershire
BS7,Gloucestershire
BS8,Gloucestershire
BS9,Gloucestershire
BS98,Gloucestershire
BS99,Gloucestershire
BT1,Antrim
BT10,Antrim
BT11,Antrim
BT12,Antrim
BT13,Antrim
BT14,Antrim
BT15,Antrim
BT16,Down
BT17,Antrim
BT18,Down
BT19,Down
BT2,Antrim
BT20,Down
BT21,Down
BT22,Down
BT23,Down
BT24,Down
BT25,Down
BT26,Down
BT27,Antrim
BT28,Antrim
BT29,Antrim
BT3,Antrim
BT30,Down
BT31,Down
BT32,Down
BT33,Down
BT34,Down
BT35,Armagh
BT36,Antrim
BT37,Antrim
BT38,Antrim
BT39,Antrim
BT4,Down
BT40,Antrim
BT41,Antrim
BT42,Antrim
BT43,Antrim
BT44,Antrim
BT45,Londonderry
BT46,Londonderry
BT47,Londonderry
BT48,Londonderry
BT49,Londonderry
BT5,Down
BT51,Londonderry
BT52,Londonderry
BT53,Antrim
BT54,Antrim
BT55,Londonderry
BT56,Antrim
BT57,Antrim
BT6,Down
BT60,Armagh
BT61,Armagh
BT62,Armagh
BT63,Armagh
BT64,Armagh
BT65,Armagh
BT66,Armagh
BT67,Antrim
BT68,Tyrone
BT69,Tyrone
BT7,Antrim
BT70,Tyrone
BT71,Tyrone
BT74,Fermanagh
BT75,Fermanagh
BT76,Tyrone
BT77,Tyrone
BT78,Tyrone
BT79,Tyrone
BT8,Down
BT80,Londonderry
BT81,Tyrone
BT82,Tyrone
BT9,Antrim
